algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
BZ2,50,29,1917.59x,9.783243,0.046250,0.020387,0.000167,0.000019,0.487216
BZ2,50,30,1917.59x,9.801020,0.047073,0.020351,0.000274,0.000026,0.483333
BZ2,50,31,1917.59x,9.795373,0.046382,0.020639,0.000195,0.000027,0.488636
BZ2,100,1,1930.23x,19.584149,0.093422,0.038676,0.000212,0.000026,0.973313
BZ2,100,2,1930.23x,19.631058,0.095096,0.039156,0.000212,0.000029,0.978524
BZ2,100,3,1930.23x,21.130723,0.095928,0.039730,0.000217,0.000027,0.978138
BZ2,100,4,1930.23x,19.600514,0.093728,0.039280,0.000214,0.000029,0.971836
BZ2,100,5,1930.23x,19.558573,0.096447,0.039925,0.000212,0.000028,0.973141
BZ2,100,6,1930.23x,19.577744,0.095031,0.039396,0.000214,0.000026,0.976827
BZ2,100,7,1930.23x,19.605710,0.110129,0.039589,0.000206,0.000028,0.981107
BZ2,100,8,1930.23x,19.615291,0.094457,0.039513,0.000217,0.000026,0.973716
BZ2,100,9,1930.23x,19.617803,0.093610,0.040240,0.000217,0.000027,0.977121
BZ2,100,10,1930.23x,19.553836,0.095508,0.039183,0.000212,0.000028,0.971332
BZ2,100,11,1930.23x,19.571379,0.094601,0.039703,0.000215,0.000027,0.981132
BZ2,100,12,1930.23x,19.597725,0.095343,0.039256,0.000208,0.000027,0.974894
BZ2,100,13,1930.23x,19.618565,0.094872,0.039814,0.000209,0.000025,0.974292
BZ2,100,14,1930.23x,19.614181,0.096184,0.039457,0.000213,0.000028,0.976198
BZ2,100,15,1930.23x,19.563431,0.095430,0.039796,0.000219,0.000028,0.976863
BZ2,100,16,1930.23x,19.567791,0.096843,0.039303,0.000213,0.000034,0.976057
BZ2,100,17,1930.23x,19.599145,0.094593,0.040100,0.000211,0.000029,0.982289
BZ2,100,18,1930.23x,19.610337,0.109305,0.039469,0.000209,0.000033,0.971936
BZ2,100,19,1930.23x,19.623245,0.095113,0.039967,0.000212,0.000029,0.983272
BZ2,100,20,1930.23x,19.564660,0.094915,0.040043,0.000211,0.000027,0.970532
BZ2,100,21,1930.23x,19.568890,0.095113,0.040049,0.000214,0.000025,0.979421
BZ2,100,22,1930.23x,19.596151,0.095606,0.039367,0.000208,0.000028,0.978142
BZ2,100,23,1930.23x,19.619591,0.093769,0.039876,0.000214,0.000026,0.979269
BZ2,100,24,1930.23x,19.622219,0.094796,0.039936,0.000217,0.000029,0.978190
BZ2,100,25,1930.23x,19.560401,0.094266,0.039923,0.000218,0.000029,0.975062
BZ2,100,26,1930.23x,19.578179,0.096773,0.039429,0.000213,0.000028,0.980596
BZ2,100,27,1930.23x,19.607822,0.095058,0.039878,0.000214,0.000028,0.980128
BZ2,100,28,1930.23x,19.618885,0.094311,0.039351,0.000209,0.000026,0.978306
BZ2,100,29,1930.23x,19.623706,0.095465,0.040255,0.000214,0.000028,0.979141
BZ2,100,30,1930.23x,19.572581,0.107783,0.039472,0.000212,0.000027,0.971313
BZ2,100,31,1930.23x,19.575848,0.095715,0.039572,0.000209,0.000035,0.983515
BZ2,1000,1,1937.27x,196.238501,0.944864,0.377999,0.000505,0.000065,9.747646
BZ2,1000,2,1937.27x,201.600807,0.948074,0.395270,0.000417,0.000063,9.622233
BZ2,1000,3,1937.27x,202.512813,0.946277,0.420078,0.000536,0.000069,9.779598
BZ2,1000,4,1937.27x,203.181800,0.948034,0.404541,0.000415,0.000062,9.694049
BZ2,1000,5,1937.27x,204.024452,0.950085,0.401500,0.000424,0.000065,9.717287
BZ2,1000,6,1937.27x,196.047805,0.893938,0.415211,0.000425,0.000063,9.651890
BZ2,1000,7,1937.27x,204.045897,0.948020,0.406718,0.000483,0.000099,9.768281
BZ2,1000,8,1937.27x,196.138375,0.943580,0.395957,0.000488,0.000090,9.683483
BZ2,1000,9,1937.27x,204.135785,0.951315,0.423428,0.000426,0.000068,9.742150
BZ2,1000,10,1937.27x,196.202760,0.918145,0.399027,0.000413,0.000061,9.663417
BZ2,1000,11,1937.27x,204.077887,0.941326,0.392026,0.000415,0.000066,9.725311
BZ2,1000,12,1937.27x,196.143532,0.951784,0.422090,0.000416,0.000066,9.634828
BZ2,1000,13,1937.27x,205.146822,0.931360,0.406085,0.000427,0.000069,9.779194
BZ2,1000,14,1937.27x,197.334999,0.952772,0.399973,0.000413,0.000064,9.651667
BZ2,1000,15,1937.27x,205.197193,0.944964,0.421139,0.000424,0.000069,9.727655
BZ2,1000,16,1937.27x,196.359323,0.952501,0.401377,0.000433,0.000071,9.724224
BZ2,1000,17,1937.27x,204.031073,0.935076,0.402808,0.000588,0.000113,9.796881
BZ2,1000,18,1937.27x,196.130215,0.930208,0.420454,0.000426,0.000069,9.687050
